pass,real_time_seconds,status
aa,52.42,ok
aa_eval,300,timeout
adce,57.26,ok
add_discriminators,50.94,ok
aggressive_instcombine,57.33,ok
alignment_from_assumptions,55.12,ok
always_inline,51.05,ok
annotation_remarks,50.91,ok
annotation2metadata,50.64,ok
assume_builder,51.11,ok
assume_simplify,50.56,ok
assumption_cache_tracker,,error
atomic_expand,50.55,ok
attributor,300,timeout
attributor_cgscc,300,timeout
barrier,,error
basic_aa,52.21,ok
basiccg,,error
bbsections_profile_reader,,error
bdce,57.74,ok
block_freq,56.65,ok
bounds_checking,61.35,ok
branch_prob,55.03,ok
break_crit_edges,56.71,ok
called_value_propagation,63.38,ok
callsite_splitting,57.97,ok
canon_freeze,60.06,ok
cfl_anders_aa,52.34,ok
cfl_steens_aa,51.01,ok
check_debugify,CheckModuleDebugify: Skipping module without debugify metadata
50.51,ok
check_debugify_function,,error
codegenprepare,58.92,ok
consthoist,61.82,ok
constmerge,55.47,ok
constraint_elimination,57.21,ok
correlated_propagation,60.30,ok
cost_model,50.90,ok
cross_dso_cfi,50.45,ok
cseinfo,,error
cycles,51.35,ok
da,55.66,ok
dce,55.00,ok
deadargelim,55.82,ok
deadargha,,error
debugify,118.75,ok
debugify_function,,error
delinearize,,error
demanded_bits,52.11,ok
dfa_jump_threading,56.39,ok
dfsan,117.61,ok
div_rem_pairs,52.30,ok
divergence,55.13,ok
domfrontier,52.91,ok
domtree,51.68,ok
dot_callgraph,300,timeout
dot_cfg,300,timeout
dot_cfg_only,300,timeout
dot_dom,300,timeout
dot_dom_only,300,timeout
dot_postdom,,error
dot_postdom_only,,error
dot_regions,300,timeout
dot_regions_only,300,timeout
dot_scops,,error
dot_scops_only,,error
dse,78.49,ok
dwarfehprepare,51.49,ok
early_cse,55.44,ok
early_cse_memssa,64.42,ok
edge_bundles,,error
elim_avail_extern,54.66,ok
expand_reductions,50.65,ok
expandmemcmp,53.90,ok
expandvp,50.83,ok
external_aa,,error
extract_blocks,50.83,ok
fastpretileconfig,,error
fasttileconfig,,error
fix_irreducible,,error
flattencfg,58.48,ok
float2int,56.31,ok
forceattrs,50.55,ok
function_attrs,59.34,ok
function_specialization,67.35,ok
gisel_known_bits,,error
global_merge,50.67,ok
globaldce,51.14,ok
globalopt,65.09,ok
globals_aa,51.78,ok
globalsplit,50.39,ok
guard_widening,54.22,ok
gvn,88.53,ok
gvn_hoist,104.09,ok
gvn_sink,55.97,ok
hardware_loops,52.51,ok
hotcoldsplit,54.78,ok
indirectbr_expand,50.97,ok
indvars,61.83,ok
infer_address_spaces,51.34,ok
inferattrs,54.37,ok
inject_tli_mappings,51.23,ok
inline,59.23,ok
instcombine,71.08,ok
instcount,50.68,ok
instnamer,56.57,ok
instruction_select,,error
instsimplify,54.78,ok
interleaved_access,51.28,ok
interleaved_load_combine,54.82,ok
internalize,54.56,ok
intervals,,error
ipsccp,65.38,ok
ir_similarity_identifier,,error
irce,60.70,ok
iroutliner,300,timeout
irtranslator,,error
iv_users,61.24,ok
jmc_instrument,50.70,ok
jump_threading,61.43,ok
lazy_block_freq,,error
lazy_branch_prob,,error
lazy_value_info,51.15,ok
lcssa,56.41,ok
lcssa_verification,,error
legalizer,,error
libcalls_shrinkwrap,51.02,ok
licm,74.20,ok
lint,Undefined behavior: Null pointer dereference
  %59 = load i8, ptr %58, align 1
Undefined behavior: Null pointer dereference
  store i8 %63, ptr %62, align 1
Undefined behavior: Null pointer dereference
  %29 = load i8, ptr %28, align 1
Undefined behavior: Null pointer dereference
  store i8 %33, ptr %32, align 1
Pessimization: Static alloca outside of entry block
  %317 = alloca i8, i64 32, align 16
Pessimization: Static alloca outside of entry block
  %106 = alloca i8, i64 24, align 16
Pessimization: Static alloca outside of entry block
  %2202 = alloca i8, i64 12, align 16
Pessimization: Static alloca outside of entry block
  %890 = alloca i8, i64 24, align 16
Pessimization: Static alloca outside of entry block
  %936 = alloca i8, i64 24, align 16
Pessimization: Static alloca outside of entry block
  %424 = alloca i8, i64 32, align 16
Pessimization: Static alloca outside of entry block
  %531 = alloca i8, i64 32, align 16
Pessimization: Static alloca outside of entry block
  %544 = alloca i8, i64 32, align 16
Pessimization: Static alloca outside of entry block
  %747 = alloca i8, i64 64, align 16
Pessimization: Static alloca outside of entry block
  %272 = alloca i8, i64 48, align 16
Pessimization: Static alloca outside of entry block
  %1358 = alloca i8, i64 36, align 16
Pessimization: Static alloca outside of entry block
  %1478 = alloca i8, i64 32, align 16
Pessimization: Static alloca outside of entry block
  %1632 = alloca i8, i64 32, align 16
Pessimization: Static alloca outside of entry block
  %136 = alloca i8, i64 32, align 16
Pessimization: Static alloca outside of entry block
  %122 = alloca i8, i64 80, align 16
Pessimization: Static alloca outside of entry block
  %305 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %355 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %367 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %97 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %85 = alloca i8, i64 8, align 16
Pessimization: Static alloca outside of entry block
  %392 = alloca i8, i64 2048, align 16
Pessimization: Static alloca outside of entry block
  %315 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %517 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %646 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %1163 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %598 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %1129 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %144 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %489 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %6690 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %7845 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %8831 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %288 = alloca i8, i64 1024, align 16
Pessimization: Static alloca outside of entry block
  %583 = alloca i8, i64 1024, align 16
Undefined behavior: Null pointer dereference
  %28 = load ptr, ptr null, align 4294967296
Undefined behavior: Null pointer dereference
  %63 = load ptr, ptr null, align 4294967296
Undefined behavior: Null pointer dereference
  tail call void @llvm.memcpy.p0.p0.i64(ptr noundef align 8 dereferenceable(40) %38, ptr noundef align 16 dereferenceable(40) %39, i64 40, i1 false)
Undefined behavior: Null pointer dereference
  %42 = load ptr, ptr %41, align 8
Undefined behavior: Null pointer dereference
  store ptr null, ptr %41, align 8
Undefined behavior: Null pointer dereference
  store i8 1, ptr null, align 1
Undefined behavior: Buffer overflow
  %62 = load i16, ptr %61, align 2
Pessimization: Static alloca outside of entry block
  %718 = alloca i8, i64 256, align 16
Pessimization: Static alloca outside of entry block
  %719 = alloca i8, i64 256, align 16
56.25,ok
load_store_vectorizer,59.59,ok
loadstore_opt,,error
localizer,,error
loop_accesses,,error
loop_data_prefetch,55.03,ok
loop_deletion,62.23,ok
loop_distribute,55.71,ok
loop_extract,59.67,ok
loop_extract_single,54.62,ok
loop_flatten,61.00,ok
loop_fusion,59.27,ok
loop_guard_widening,,error
loop_idiom,61.71,ok
loop_instsimplify,59.84,ok
loop_interchange,63.86,ok
loop_load_elim,60.64,ok
loop_predication,59.76,ok
loop_reduce,56.83,ok
loop_reroll,60.46,ok
loop_rotate,60.12,ok
loop_simplify,59.18,ok
loop_simplifycfg,59.35,ok
loop_sink,56.58,ok
loop_unroll,62.09,ok
loop_unroll_and_jam,59.96,ok
loop_vectorize,63.85,ok
loop_versioning,62.58,ok
loop_versioning_licm,67.16,ok
loops,52.45,ok
lower_amx_intrinsics,50.68,ok
lower_amx_type,50.94,ok
lower_constant_intrinsics,55.69,ok
lower_expect,51.08,ok
lower_global_dtors,50.59,ok
lower_guard_intrinsic,50.88,ok
lower_matrix_intrinsics,53.44,ok
lower_matrix_intrinsics_minimal,51.14,ok
lower_widenable_condition,50.99,ok
loweratomic,56.88,ok
lowerinvoke,50.87,ok
lowerswitch,55.53,ok
lowertilecopy,,error
machine_block_freq,,error
machine_branch_prob,,error
machine_domfrontier,,error
machine_loops,,error
machinedomtree,,error
make_guards_explicit,50.75,ok
mem2reg,54.93,ok
memcpyopt,64.54,ok
memdep,54.66,ok
memoryssa,57.01,ok
memprof,70.59,ok
memprof_module,54.74,ok
mergefunc,58.17,ok
mergeicmps,56.96,ok
mergereturn,54.71,ok
metarenamer,58.02,ok
mldst_motion,56.90,ok
module_debuginfo,,error
module_summary_analysis,,error
module_summary_info,,error
nary_reassociate,67.99,ok
newgvn,76.74,ok
objc_arc,52.65,ok
objc_arc_aa,50.96,ok
objc_arc_apelim,50.58,ok
objc_arc_contract,53.25,ok
objc_arc_expand,50.76,ok
openmp_opt_cgscc,52.50,ok
opt_remark_emitter,,error
pa_eval,,error
partial_inliner,55.41,ok
partially_inline_libcalls,55.62,ok
phi_values,50.79,ok
place_backedge_safepoints_impl,,error
place_safepoints,,error
polly_ast,96.81,ok
polly_canonicalize,92.77,ok
polly_cleanup,50.71,ok
polly_codegen,96.46,ok
polly_dce,91.36,ok
polly_delicm,90.67,ok
polly_dependences,94.89,ok
polly_detect,58.87,ok
polly_dump_module,69.74,ok
polly_export_jscop,Writing JScop '%8---%30' in function '_ZN5Input11ActionState11DeviceStateC2Ev' to './_ZN5Input11ActionState11DeviceStateC2Ev___%8---%30.jscop'.

Writing JScop '%11---%24' in function '_ZN5Input6JoypadC2Ev' to './_ZN5Input6JoypadC2Ev___%11---%24.jscop'.

Writing JScop '%13---%27' in function '_ZN9QuickHull4FaceC2Ev' to './_ZN9QuickHull4FaceC2Ev___%13---%27.jscop'.

Writing JScop '%9---%21' in function '_ZN7TileSet15TerrainsPatternC2Ev' to './_ZN7TileSet15TerrainsPatternC2Ev___%9---%21.jscop'.

Writing JScop '%11---%24' in function '_ZN28CanvasItemEditorSelectedItemC2Ev' to './_ZN28CanvasItemEditorSelectedItemC2Ev___%11---%24.jscop'.

Writing JScop '%9---%21' in function '_ZN26GodotConcavePolygonShape3D4FaceC2Ev' to './_ZN26GodotConcavePolygonShape3D4FaceC2Ev___%9---%21.jscop'.

Writing JScop '%22---%134' in function '_ZN22JoltGeneric6DOFJoint3DC2ERK11JoltJoint3DP10JoltBody3DS4_RK11Transform3DS7_' to './_ZN22JoltGeneric6DOFJoint3DC2ERK11JoltJoint3DP10JoltBody3DS4_RK11Transform3DS7____%22---%134.jscop'.

Writing JScop '%14---%26' in function '_ZN3JPH11BodyManagerC2Ev' to './_ZN3JPH11BodyManagerC2Ev___%14---%26.jscop'.

Writing JScop '%7---%46' in function '_ZN13LightmapperRD14BakeParametersC2Ev' to './_ZN13LightmapperRD14BakeParametersC2Ev___%7---%46.jscop'.

Writing JScop '%9---%23' in function '_ZN13LightmapperRD23RasterSeamsPushConstantC2Ev' to './_ZN13LightmapperRD23RasterSeamsPushConstantC2Ev___%9---%23.jscop'.

Writing JScop '%7---%45' in function '_ZN13LightmapperRD18RasterPushConstantC2Ev' to './_ZN13LightmapperRD18RasterPushConstantC2Ev___%7---%45.jscop'.

Writing JScop '%7---%29' in function '_ZN13LightmapperRD8TriangleC2Ev' to './_ZN13LightmapperRD8TriangleC2Ev___%7---%29.jscop'.

Writing JScop '%7---%28' in function '_ZN13LightmapperRD6VertexC2Ev' to './_ZN13LightmapperRD6VertexC2Ev___%7---%28.jscop'.

Writing JScop '%7---%29' in function '_ZN13LightmapperRD5LightC2Ev' to './_ZN13LightmapperRD5LightC2Ev___%7---%29.jscop'.

Writing JScop '%81---%109' in function '_ZN14CPUParticles2DC2Ev' to './_ZN14CPUParticles2DC2Ev___%81---%109.jscop'.

Writing JScop '%21---%33' in function '_ZN26GPUParticlesCollisionSDF3D3BVHC2Ev' to './_ZN26GPUParticlesCollisionSDF3D3BVHC2Ev___%21---%33.jscop'.

Writing JScop '%135---%166' in function '_ZN14CPUParticles3DC2Ev' to './_ZN14CPUParticles3DC2Ev___%135---%166.jscop'.

Writing JScop '%7---%19' in function '_ZN10LightmapGI10BSPSimplexC2Ev' to './_ZN10LightmapGI10BSPSimplexC2Ev___%7---%19.jscop'.

Writing JScop '%52---%64' in function '_ZN9VoxelizerC2Ev' to './_ZN9VoxelizerC2Ev___%52---%64.jscop'.

Writing JScop '%37---%50' in function '_ZN18TextureProgressBarC2Ev' to './_ZN18TextureProgressBarC2Ev___%37---%50.jscop'.

